animal_id,animal_name,animal_type,primary_color,secondary_color,sex,dob,intake_date,intake_condition,intake_type,intake_subtype,reason_for_intake,outcome_date,crossing,jurisdiction,outcome_type,outcome_subtype,latitude,longitude,intake_is_dead,outcome_is_dead,was_outcome_alive,geopoint
A706436,*phantom,cat,brown  tabby,NA,Female,2023-08-04,2023-09-07,normal,stray,otc,NA,2023-10-23,"00 BLOCK E MARKET ST, LONG BEACH CA",Long Beach,rescue,littlelion,33.8542837,-118.1964921,Alive on Intake,FALSE,1,"33.8542837, -118.1964921"
A697542,*chunk,cat,gray tabby,white,Neutered,2021-04-27,2023-04-27,injured  mild,stray,otc,NA,2023-12-06,"00 BLOCK W DAMERON ST, LONG BEACH CA",Long Beach,adoption,pfe/pawshp,33.8666531,-118.2017752,Alive on Intake,FALSE,1,"33.8666531, -118.2017752"
A704556,mia,cat,brown  tabby,NA,Spayed,2023-06-10,2023-08-10,ill severe,stray,otc,NA,2023-08-23,"00 BLOCK W SCOTT ST, LONG BEACH CA",Long Beach,adoption,NA,33.8692044,-118.2014596,Alive on Intake,FALSE,1,"33.8692044, -118.2014596"
A596335,NA,cat,black,NA,Female,2017-08-01,2017-09-01,normal,stray,field,NA,2017-09-07,"1 BLK CEDAR WALK, LONG BEACH, CA 90802",Long Beach,transfer,spcala,33.7670803,-118.1948981,Alive on Intake,FALSE,1,"33.7670803, -118.1948981"
A596337,NA,cat,white,brown,Female,2017-08-01,2017-09-01,normal,stray,field,NA,2017-09-07,"1 BLK CEDAR WALK, LONG BEACH, CA 90802",Long Beach,transfer,spcala,33.7670803,-118.1948981,Alive on Intake,FALSE,1,"33.7670803, -118.1948981"
A602314,NA,cat,brown  tabby,white,Unknown,2015-01-12,2018-01-12,injured  moderate,stray,field,NA,2018-01-12,"1 BLK W DEL AMO BLVD, LONG BEACH, CA 90805",Long Beach,euthanasia,ill severe,33.8467318,-118.1939192,Alive on Intake,TRUE,0,"33.8467318, -118.1939192"
A618316,NA,cat,brown  tabby,white,Female,2018-08-02,2018-12-02,normal,stray,field,NA,2018-12-05,"10 BLK E 69TH WAY, LONG BEACH, CA 90805",Long Beach,transfer,spcala,33.8800031,-118.2042948,Alive on Intake,FALSE,1,"33.8800031, -118.2042948"
A686896,*bagheera,cat,black,NA,Male,2021-10-14,2022-10-14,injured  moderate,stray,otc,NA,2022-12-10,"10 BLK E. PLYMOUTH ST, LONG BEACH, CA 90805",Long Beach,adoption,NA,33.8532911,-118.1959712,Alive on Intake,FALSE,1,"33.8532911, -118.1959712"
A675407,meowsie,cat,black,white,Neutered,2018-05-21,2022-05-21,normal,welfare seized,hospital,NA,2022-05-28,"10 BLK GLENDORA AVE, LONG BEACH, CA 90803",Long Beach,return to owner,walkin,33.7551754,-118.1352735,Alive on Intake,FALSE,1,"33.7551754, -118.1352735"
A682864,*red,cat,orange tabby,NA,Neutered,2021-09-01,2022-09-01,normal,stray,field,NA,2022-10-08,"10 BLK OCEAN PL, SEAL BEACH, CA 90740",Seal Beach,adoption,NA,33.7452018,-118.112709,Alive on Intake,FALSE,1,"33.7452018, -118.112709"
A688296,*stitch,cat,gray,NA,Female,2022-10-09,2022-11-09,injured  severe,stray,field,NA,2022-11-10,"10 BLK W 47TH ST, LB 90805",Long Beach,euthanasia,ill severe,33.84284030000001,-118.1931187,Alive on Intake,TRUE,0,"33.84284030000001, -118.1931187"
A732443,NA,cat,white,orange tabby,Male,2022-11-13,2024-11-13,injured  severe,stray,field,NA,2024-11-14,"10 BLK W ARBOR, LB 90805",Long Beach,euthanasia,inj severe,33.8439359,-118.1933641,Alive on Intake,TRUE,0,"33.8439359, -118.1933641"
A672990,NA,cat,brown  tabby,NA,Female,2022-04-04,2022-04-11,injured  severe,stray,field,NA,2022-04-13,"10 BLK W BORT ST, LONG BEACH, CA 90805",Long Beach,died,in kennel,33.8703458,-118.2020155,Alive on Intake,TRUE,0,"33.8703458, -118.2020155"
A615048,NA,cat,black,white,Unknown,2015-09-21,2018-09-21,ill severe,stray,field,NA,2018-09-22,"10 BLK W MOUNTAIN VIEW ST, LONG BEACH, CA 90805",Long Beach,euthanasia,at vet,33.8515302,-118.1962352,Alive on Intake,TRUE,0,"33.8515302, -118.1962352"
A626284,NA,cat,brown  tabby,NA,Male,2018-05-11,2019-05-11,injured  severe,stray,field,NA,2019-05-11,"10 BLK W PLEASANT ST, LONG BEACH, CA 90805",Long Beach,euthanasia,inj severe,33.8460665,-118.1940513,Alive on Intake,TRUE,0,"33.8460665, -118.1940513"
A607390,*mai tai,cat,seal point,NA,Spayed,2016-05-10,2018-07-18,normal,owner surrender,otc,owner prob,2018-12-13,"10 BLK WOODPINE DR, IRVINE, CA 92604",Irvine,adoption,pfe/pawshp,33.6861428,-117.8047419,Alive on Intake,FALSE,1,"33.6861428, -117.8047419"
A595334,clara bell,cat,white,brown  tabby,Female,2015-08-14,2017-08-14,normal,stray,field,NA,2017-08-14,"100 BLK 14TH ST, SEAL BEACH, CA 90740",Seal Beach,return to owner,NA,33.7376411,-118.1015354,Alive on Intake,FALSE,1,"33.7376411, -118.1015354"
A698112,aubrey,cat,calico tabby,NA,Spayed,2021-05-03,2023-05-03,normal,stray,otc,NA,2023-05-14,100 BLK 16TH ST LB 90813,Long Beach,adoption,web,33.7871311,-118.1923855,Alive on Intake,FALSE,1,"33.7871311, -118.1923855"
A700206,*parallelogram,cat,gray tabby,white,Female,2023-05-15,2023-06-04,under age/weight,stray,otc,NA,2023-06-14,100 BLK 29TH ST LONG BEACH 90806,Long Beach,rescue,littlelion,33.8099414,-118.190922,Alive on Intake,FALSE,1,"33.8099414, -118.190922"
A718638,NA,cat,brown  tabby,NA,Unknown,NA,2024-04-13,injured  severe,stray,field,NA,2024-04-14,100 BLK ALAMITOS AVE,Long Beach,euthanasia,at vet,33.7677623,-118.1825071,Alive on Intake,TRUE,0,"33.7677623, -118.1825071"
A598978,NA,cat,brown  tabby,NA,Male,2017-02-19,2017-10-19,normal,stray,otc,NA,2017-10-25,"100 BLK AQUARIUM WAY, LONG BEACH, CA 90802",Long Beach,transfer,spcala,33.7621679,-118.196966,Alive on Intake,FALSE,1,"33.7621679, -118.196966"
A699275,shilo,cat,white,NA,Neutered,2023-03-30,2023-05-24,ill mild,stray,otc,NA,2023-05-26,100 BLK BARCLAY ST LB 90805,Long Beach,adoption,web,33.8661015,-118.2027924,Alive on Intake,FALSE,1,"33.8661015, -118.2027924"
A699278,nash,cat,gray,NA,Neutered,2023-03-30,2023-05-24,ill mild,stray,otc,NA,2023-05-27,100 BLK BARCLAY ST LB 90805,Long Beach,adoption,web,33.8661015,-118.2027924,Alive on Intake,FALSE,1,"33.8661015, -118.2027924"
A699214,stray2,cat,black,NA,Unknown,NA,2023-05-21,ill mild,stray,field,NA,2023-05-21,"100 BLK BARCLAY ST, LONG BEACH CA, 90805",Long Beach,return to wild habitat,NA,33.8661015,-118.2027924,Alive on Intake,FALSE,1,"33.8661015, -118.2027924"
A586178,spike,cat,black,white,Neutered,2016-02-23,2017-02-23,normal,owner surrender,otc,too many,2017-07-05,"100 BLK CERRITOS AVE, LONG BEACH, CA 90802",Long Beach,adoption,pfe/pawshp,33.7672612,-118.1786864,Alive on Intake,FALSE,1,"33.7672612, -118.1786864"
A586180,peaches,cat,calico,NA,Female,2016-02-23,2017-02-23,normal,owner surrender,otc,too many,2017-02-23,"100 BLK CERRITOS AVE, LONG BEACH, CA 90802",Long Beach,transfer,spcala,33.7672612,-118.1786864,Alive on Intake,FALSE,1,"33.7672612, -118.1786864"
A586183,bilbo,cat,lilac lynx point,tan,Male,2015-02-23,2017-02-23,normal,owner surrender,otc,too many,2017-03-02,"100 BLK CERRITOS AVE, LONG BEACH, CA 90802",Long Beach,transfer,spcala,33.7672612,-118.1786864,Alive on Intake,FALSE,1,"33.7672612, -118.1786864"
A586188,raphael,cat,black,white,Male,2016-10-23,2017-02-23,normal,owner surrender,otc,too many,2017-02-24,"100 BLK CERRITOS AVE, LONG BEACH, CA 90802",Long Beach,transfer,spcala,33.7672612,-118.1786864,Alive on Intake,FALSE,1,"33.7672612, -118.1786864"
A586200,tigger,cat,calico,white,Spayed,2013-02-23,2017-02-23,normal,owner surrender,otc,too many,2017-07-05,"100 BLK CERRITOS AVE, LONG BEACH, CA 90802",Long Beach,adoption,pfe/pawshp,33.7672612,-118.1786864,Alive on Intake,FALSE,1,"33.7672612, -118.1786864"
A586194,sassy,cat,white,brown  tabby,Female,2015-02-23,2017-02-23,normal,owner surrender,otc,too many,2017-02-24,"100 BLK CERRITOS AVE, LONG BEACH, CA 90802",Long Beach,rescue,fndanifoun,33.7672612,-118.1786864,Alive on Intake,FALSE,1,"33.7672612, -118.1786864"
A586201,NA,cat,gray tabby,NA,Male,2017-01-30,2017-02-23,under age/weight,owner surrender,otc,too many,2017-02-24,"100 BLK CERRITOS AVE, LONG BEACH, CA 90802",Long Beach,rescue,fndanifoun,33.7672612,-118.1786864,Alive on Intake,FALSE,1,"33.7672612, -118.1786864"
A586177,misty,cat,white,black,Spayed,2015-02-23,2017-02-23,normal,owner surrender,otc,too many,2017-04-14,"100 BLK CERRITOS AVE, LONG BEACH, CA 90802",Long Beach,adoption,pfe/pawshp,33.7672612,-118.1786864,Alive on Intake,FALSE,1,"33.7672612, -118.1786864"
A586204,christopher,cat,lilac lynx point,NA,Neutered,2013-02-23,2017-02-23,normal,owner surrender,otc,too many,2017-05-20,"100 BLK CERRITOS AVE, LONG BEACH, CA 90802",Long Beach,adoption,pfe/pawshp,33.7672612,-118.1786864,Alive on Intake,FALSE,1,"33.7672612, -118.1786864"
A731276,*hollow,cat,black,NA,Neutered,2024-07-26,2024-10-26,normal,stray,otc,NA,2024-11-10,100 BLK DE FOREST AVE LONG BEACH CA 90805,Long Beach,community cat,friendly,33.8498028,-118.2010458,Alive on Intake,FALSE,1,"33.8498028, -118.2010458"
A708568,*socks,cat,black,white,Female,2023-08-29,2023-10-10,under age/weight,stray,field,NA,2023-11-20,"100 BLK E 52ND ST, LB 90805",Long Beach,rescue,littlepaws,33.8504744,-118.1936361,Alive on Intake,FALSE,1,"33.8504744, -118.1936361"
A681028,blondie,cat,lynx point,NA,Female,2021-07-28,2022-07-28,injured  mild,stray,otc,NA,2022-10-02,"100 BLK E 52ND ST, LONG BEACH, CA 90805",Long Beach,return to owner,walkin,33.8504744,-118.1936361,Alive on Intake,FALSE,1,"33.8504744, -118.1936361"
A635128,NA,cat,black,white,Male,2019-09-11,2019-10-17,under age/weight,stray,otc,NA,2019-10-25,"100 BLK E 52ND ST, LONG BEACH, CA 90805",Long Beach,rescue,littlepaws,33.8504744,-118.1936361,Alive on Intake,FALSE,1,"33.8504744, -118.1936361"
A659708,*velma,cat,white,gray,Spayed,2021-03-07,2021-07-07,normal,stray,otc,NA,2021-07-18,"100 BLK E 52ND ST, LONG BEACH, CA 90805",Long Beach,rescue,spcala,33.8504744,-118.1936361,Alive on Intake,FALSE,1,"33.8504744, -118.1936361"
A644707,NA,cat,black,white,Spayed,2020-03-02,2020-07-02,normal,stray,otc,NA,2020-07-09,"100 BLK E 52ND ST, LONG BEACH, CA 90805",Long Beach,adoption,web,33.8504744,-118.1936361,Alive on Intake,FALSE,1,"33.8504744, -118.1936361"
A644708,*milkshake,cat,black,white,Neutered,2020-01-02,2020-07-02,normal,stray,otc,NA,2020-07-21,"100 BLK E 52ND ST, LONG BEACH, CA 90805",Long Beach,adoption,pfe/pawshp,33.8504744,-118.1936361,Alive on Intake,FALSE,1,"33.8504744, -118.1936361"
A644709,NA,cat,black,NA,Spayed,2020-03-02,2020-07-02,normal,stray,otc,NA,2020-07-09,"100 BLK E 52ND ST, LONG BEACH, CA 90805",Long Beach,rescue,catpaws,33.8504744,-118.1936361,Alive on Intake,FALSE,1,"33.8504744, -118.1936361"
A635127,NA,cat,black,white,Male,NA,2019-10-17,under age/weight,stray,otc,NA,2019-10-25,"100 BLK E 52ND ST, LONG BEACH, CA 90805",Long Beach,rescue,littlepaws,33.8504744,-118.1936361,Alive on Intake,FALSE,1,"33.8504744, -118.1936361"
A610556,*robin,cat,gray tabby,NA,Female,2015-07-02,2018-07-02,ill moderatete,stray,field,NA,2018-08-02,"100 BLK E 55TH ST, LONG BEACH, CA 90805",Long Beach,euthanasia,ill modera,33.8557059,-118.1936188,Alive on Intake,TRUE,0,"33.8557059, -118.1936188"
A718414,*twilight,cat,calico,NA,Female,2024-04-05,2024-04-11,under age/weight,stray,field,NA,2024-06-11,100 BLK E 57TH ST,Long Beach,rescue,littlelion,33.8581828,-118.1953974,Alive on Intake,FALSE,1,"33.8581828, -118.1953974"
A659495,*flicka,cat,brown  tabby,white,Male,2021-04-26,2021-06-26,injured  severe,stray,field,NA,2021-07-06,"100 BLK E 57TH ST, LONG BEACH, CA 90805",Long Beach,rescue,houseobc,33.8581828,-118.1953974,Alive on Intake,FALSE,1,"33.8581828, -118.1953974"
A650370,*biscuits,cat,black tabby,white,Spayed,2020-06-21,2020-10-21,normal,stray,otc,NA,2020-11-05,"100 BLK E 59TH ST, LONG BEACH, CA 90805",Long Beach,adoption,web,33.8627431,-118.1943384,Alive on Intake,FALSE,1,"33.8627431, -118.1943384"
A607626,NA,cat,white,black,Unknown,2018-04-23,2018-05-15,under age/weight,stray,field,NA,2018-05-25,"100 BLK E 60TH ST, LONG BEACH, CA 90805",Long Beach,euthanasia,undrage/wt,33.8641608,-118.1935283,Alive on Intake,TRUE,0,"33.8641608, -118.1935283"
A607625,NA,cat,white,black,Unknown,2018-04-23,2018-05-15,under age/weight,stray,field,NA,2018-05-25,"100 BLK E 60TH ST, LONG BEACH, CA 90805",Long Beach,euthanasia,undrage/wt,33.8641608,-118.1935283,Alive on Intake,TRUE,0,"33.8641608, -118.1935283"
A616247,NA,cat,white,tan,Unknown,2018-08-13,2018-10-13,ill severe,stray,field,NA,2018-10-13,"100 BLK E 64TH ST, LONG BEACH, CA 90805",Long Beach,euthanasia,ill modera,33.8710298,-118.1691498,Alive on Intake,TRUE,0,"33.8710298, -118.1691498"
A661021,cali,cat,calico,NA,Female,2013-07-31,2021-07-31,normal,owner surrender,otc,no home,2021-08-19,"100 BLK E 67TH ST, LONG BEACH, CA 90805",Long Beach,return to owner,walkin,33.8759962,-118.2032146,Alive on Intake,FALSE,1,"33.8759962, -118.2032146"
A611468,NA,cat,tricolor,NA,Female,2018-04-22,2018-07-22,normal,stray,otc,NA,2018-07-26,"100 BLK E 67TH ST, LONG BEACH, CA 90805",Long Beach,rescue,fndanifoun,33.8759962,-118.2032146,Alive on Intake,FALSE,1,"33.8759962, -118.2032146"
A596645,NA,cat,white,orange,Male,2017-08-25,2017-09-07,under age/weight,stray,otc,NA,2017-09-09,"100 BLK E 69TH ST, LONG BEACH, CA 90805",Long Beach,rescue,littlelion,33.8793159,-118.2026829,Alive on Intake,FALSE,1,"33.8793159, -118.2026829"
A689681,NA,cat,orange tabby,NA,Male,2017-11-30,2022-11-30,ill severe,stray,field,NA,2022-11-30,"100 BLK E ADAIR ST, LONG BEACH, CA 90805",Long Beach,euthanasia,ill severe,33.8639455,-118.1925682,Alive on Intake,TRUE,0,"33.8639455, -118.1925682"
A623534,shadow,cat,gray,NA,Neutered,2009-03-20,2019-03-20,normal,stray,otc,NA,2019-04-26,"100 BLK E EAGLE ST, LONG BEACH, CA 90806",Long Beach,adoption,walkin,33.7996711,-118.1923808,Alive on Intake,FALSE,1,"33.7996711, -118.1923808"
A648978,NA,cat,gray,NA,Male,2020-07-16,2020-09-16,ill severe,stray,field,NA,2020-09-16,"100 BLK E HARCOURT ST, LONG BEACH, CA 90805",Long Beach,rescue,littlepaws,33.8680256,-118.2008129,Alive on Intake,FALSE,1,"33.8680256, -118.2008129"
A599567,NA,cat,brown  tabby,NA,Female,2017-10-14,2017-11-02,under age/weight,stray,otc,NA,2017-11-02,"100 BLK E LOUISE ST, LONG BEACH, CA 90805",Long Beach,euthanasia,undrage/wt,33.8549875,-118.1934587,Alive on Intake,TRUE,0,"33.8549875, -118.1934587"
A599569,NA,cat,cream tabby,NA,Male,2017-10-14,2017-11-02,under age/weight,stray,otc,NA,2017-11-02,"100 BLK E LOUISE ST, LONG BEACH, CA 90805",Long Beach,euthanasia,undrage/wt,33.8549875,-118.1934587,Alive on Intake,TRUE,0,"33.8549875, -118.1934587"
A599568,NA,cat,brown  tabby,NA,Male,2017-10-14,2017-11-02,under age/weight,stray,otc,NA,2017-11-02,"100 BLK E LOUISE ST, LONG BEACH, CA 90805",Long Beach,euthanasia,undrage/wt,33.8549875,-118.1934587,Alive on Intake,TRUE,0,"33.8549875, -118.1934587"
A663021,*cookie,cat,cream,NA,Spayed,2021-07-01,2021-09-01,ill moderatete,stray,field,NA,2021-11-05,"100 BLK E LOUISE ST, LONG BEACH, CA 90805",Long Beach,adoption,web,33.8549875,-118.1934587,Alive on Intake,FALSE,1,"33.8549875, -118.1934587"
A656252,NA,cat,brown  tabby,NA,Unknown,2021-03-30,2021-04-14,under age/weight,stray,field,NA,2021-04-14,"100 BLK E MARKET ST, LONG BEACH, CA 90805",Long Beach,rescue,catpaws,33.8540693,-118.1935615,Alive on Intake,FALSE,1,"33.8540693, -118.1935615"
A642114,*plumeria,cat,lynx point,NA,Female,2020-01-24,2020-04-24,normal,stray,field,NA,2020-04-29,"100 BLK E MARKET ST, LONG BEACH, CA 90805",Long Beach,adoption,NA,33.8540693,-118.1935615,Alive on Intake,FALSE,1,"33.8540693, -118.1935615"
A642118,*lavender,cat,brown  tabby,white,Female,2020-01-24,2020-04-24,normal,stray,field,NA,2020-04-30,"100 BLK E MARKET ST, LONG BEACH, CA 90805",Long Beach,adoption,NA,33.8540693,-118.1935615,Alive on Intake,FALSE,1,"33.8540693, -118.1935615"
A633446,NA,cat,flame point,NA,Male,2019-07-12,2019-09-12,normal,stray,aban field,NA,2019-09-13,"100 BLK E MARKET ST, LONG BEACH, CA 90805",Long Beach,rescue,littlepaws,33.8540693,-118.1935615,Alive on Intake,FALSE,1,"33.8540693, -118.1935615"
A644794,NA,cat,brown  tabby,NA,Male,2020-05-03,2020-07-03,ill severe,stray,field,NA,2020-07-04,"100 BLK E MARKET ST, LONG BEACH, CA 90805",Long Beach,euthanasia,at vet,33.8540693,-118.1935615,Alive on Intake,TRUE,0,"33.8540693, -118.1935615"
A642120,*sage,cat,brown  tabby,white,Male,2020-01-24,2020-04-24,normal,stray,field,NA,2020-04-29,"100 BLK E MARKET ST, LONG BEACH, CA 90805",Long Beach,adoption,NA,33.8540693,-118.1935615,Alive on Intake,FALSE,1,"33.8540693, -118.1935615"
A592019,NA,cat,black,NA,Unknown,2017-04-17,2017-06-17,normal,stray,field,NA,2017-07-01,"100 BLK E MARKET ST, LONG BEACH, CA 90805",Long Beach,rescue,littlelion,33.8540693,-118.1935615,Alive on Intake,FALSE,1,"33.8540693, -118.1935615"
A688102,baby,cat,calico,NA,Spayed,2022-09-06,2022-11-06,under age/weight,stray,otc,NA,2022-11-09,"100 BLK E NORTON ST, LONG BEACH, CA 90805",Long Beach,adoption,web,33.8583884,-118.1898534,Alive on Intake,FALSE,1,"33.8583884, -118.1898534"
A599065,NA,cat,black,white,Male,2014-10-21,2017-10-21,ill severe,stray,field,NA,2017-10-22,"100 BLK E NORTON ST, LONG BEACH, CA 90805",Long Beach,euthanasia,ill severe,33.8583884,-118.1898534,Alive on Intake,TRUE,0,"33.8583884, -118.1898534"
A717690,kitten 3,cat,gray tabby,tan,Unknown,NA,2024-03-26,normal,stray,field,NA,2024-03-28,"100 BLK E OSGOOD ST, LONG BEACH, CA 90805",Long Beach,rescue,littlelion,33.8634376,-118.1939327,Alive on Intake,FALSE,1,"33.8634376, -118.1939327"
A612868,NA,cat,cream,white,Female,2018-07-25,2018-08-15,under age/weight,stray,otc,NA,2018-08-15,"100 BLK E PLATT ST, LONG BEACH, CA 90805",Long Beach,euthanasia,ill severe,33.8509978,-118.1935457,Alive on Intake,TRUE,0,"33.8509978, -118.1935457"
A612650,*cedar,cat,brown  tabby,NA,Spayed,2013-08-10,2018-08-10,normal,stray,otc,NA,2018-08-14,"100 BLK E PLYMOUTH ST, LONG BEACH, CA 90805",Long Beach,"shelter, neuter, return",straycatal,33.8531119,-118.1935153,Alive on Intake,FALSE,1,"33.8531119, -118.1935153"
A711088,NA,cat,gray,NA,Unknown,2023-07-25,2023-11-25,injured  severe,stray,field,NA,2023-11-26,"100 BLK E SPRING ST, LONG BEACH CA",Long Beach,euthanasia,at vet,33.8116503,-118.191676,Alive on Intake,TRUE,0,"33.8116503, -118.191676"
A727958,*eobard,cat,flame point,NA,Neutered,2024-07-25,2024-08-29,under age/weight,stray,otc,NA,2024-11-23,100 BLK E SPRING STREET LONG BEACH CA 90806,Long Beach,adoption,web,33.811657,-118.1916967,Alive on Intake,FALSE,1,"33.811657, -118.1916967"
A610863,NA,cat,white,gray,Female,2018-05-11,2018-07-11,normal,stray,otc,NA,2018-07-25,"100 BLK E SUNSET ST, LONG BEACH, CA 90805",Long Beach,euthanasia,time/space,33.8490603,-118.1934987,Alive on Intake,TRUE,0,"33.8490603, -118.1934987"
A722866,*sunny,cat,white,tan,Spayed,2021-06-15,2024-06-14,injured  mild,stray,otc,NA,2024-06-28,100 BLK E SUNSET STREET LONG BEACH CA 90805,Long Beach,community cat,NA,33.8490652,-118.19351,Alive on Intake,FALSE,1,"33.8490652, -118.19351"
A722866,*sunny,cat,white,tan,Spayed,2021-06-15,2024-11-09,ill moderatete,stray,otc,NA,2024-11-26,100 BLK E SUNSET STREET LONG BEACH CA 90805,Long Beach,euthanasia,ill severe,33.8490652,-118.19351,Alive on Intake,TRUE,0,"33.8490652, -118.19351"
A644434,*mr. toes,cat,black,white,Male,2020-03-26,2020-06-26,normal,stray,otc,NA,2020-07-05,"100 BLK E WILLOW ST, LONG BEACH, CA 90806",Long Beach,transfer,spcala,33.8040221,-118.1923394,Alive on Intake,FALSE,1,"33.8040221, -118.1923394"
A691579,smokey,cat,gray,NA,Male,2022-01-07,2023-01-07,normal,stray,otc,NA,2023-01-11,"100 BLK E. 52ND ST, LONG BEACH, CA 90805",Long Beach,return to owner,walkin,33.8504744,-118.1936361,Alive on Intake,FALSE,1,"33.8504744, -118.1936361"
A688049,*crawford,cat,gray tabby,NA,Neutered,2022-10-05,2022-11-05,ill moderatete,stray,otc,NA,2022-12-03,"100 BLK E. 69TH WAY, LONG BEACH, CA 90805",Long Beach,adoption,web,33.8799165,-118.2025639,Alive on Intake,FALSE,1,"33.8799165, -118.2025639"
A671321,sugar lips,cat,black,white,Spayed,2007-07-30,2022-03-04,ill mild,stray,otc,NA,2022-04-04,"100 BLK ELM ST, LONG BEACH, CA 90802",Long Beach,euthanasia,ill severe,33.7660182,-118.1875114,Alive on Intake,TRUE,0,"33.7660182, -118.1875114"
A597025,NA,cat,gray tabby,white,Male,2017-03-13,2017-09-13,normal,stray,otc,NA,2017-09-15,"100 BLK GOLDEN SHR, LONG BEACH, CA 90802",Long Beach,transfer,spcala,33.7644885,-118.2018643,Alive on Intake,FALSE,1,"33.7644885, -118.2018643"
A726851,*magnolia,cat,black,white,Spayed,2024-03-15,2024-08-15,normal,stray,field,NA,2024-09-12,"100 BLK MAGNOLIA AVE, LONG BEACH, CA",Long Beach,adoption,web,33.7686833,-118.1975282,Alive on Intake,FALSE,1,"33.7686833, -118.1975282"
A707576,*tiger,cat,white,NA,Spayed,2023-08-13,2023-09-24,under age/weight,stray,otc,NA,2023-10-04,100 BLK MIRA MAR AVE LONG BEACH CA 90803,Long Beach,rescue,catpaws,33.7613099,-118.146644,Alive on Intake,FALSE,1,"33.7613099, -118.146644"
A701395,*frito,cat,orange tabby,white,Neutered,2021-06-22,2023-06-22,ill mild,stray,otc,NA,2023-07-02,100 BLK NIETO AVE LONG BEACH CA 90803,Long Beach,rescue,kittybunga,33.7574242,-118.1371146,Alive on Intake,FALSE,1,"33.7574242, -118.1371146"
A690159,NA,cat,black,NA,Unknown,2022-07-06,2022-12-06,normal,stray,field,NA,2022-12-06,"100 BLK OCEAN AVE, SEAL BEACH, CA 90740",Seal Beach,transfer,sbacc,33.74319330000001,-118.1129308,Alive on Intake,FALSE,1,"33.74319330000001, -118.1129308"
A592781,montana,cat,white,NA,Female,2015-07-01,2017-07-01,normal,owner surrender,otc,owner prob,2017-07-02,"100 BLK TERMINO AVE, LONG BEACH, CA 90803",Long Beach,transfer,spcala,33.7611915,-118.1456782,Alive on Intake,FALSE,1,"33.7611915, -118.1456782"
